Card,Average
Makkar Evangel,3.0
Malaise,1.2
Reconnaissance,2.2
Smokedancer,2.8
Unkindness,3.0
Calamity Oracle,1.2
Lethrai Dead Drop,0.2
Makkar's Bloodwolf,3.0
Spectral Scythe,2.2
Sunset Priest,2.2
Torture,3.0
Vile Collaborator,3.0
Waylay,0.2
Befoul,1.2
Blood of Makkar,1.2
Dread Hellkite,3.5
Fell Ritual,4.0
"Incarnus, Makkar's Listener",4.0
Marsh Dragon,3.5
"Karvet, Solar Dragon",5.0
Banewulf,2.2
"Eremot, Death Incarnate",4.0
Noxious Wyvarch,2.8
Vicious Rejuvenation,0.2
Kairos' Choice,3.5
"Ramba, Arena Showman",4.0
Cheering Section,0.2
Champion Grappler,3.0
"Kairos, Grand Champion",0.2
Acclaimed Artisan,3.5
Rujin's Choice,1.2
Conspicuous Traveler,3.5
Gatekeeper's Halberd,4.0
"Rujin, Conflict Within",3.5
Geminon's Choice,2.2
Wizened Crone,2.2
Blood-Sun Staff,3.5
Geminon's Berserker,3.5
"Geminon, the Double Helix",1.2
Voprex's Choice,2.2
Cremate,4.0
Cinder Dragon,3.0
Cruel Wyvarch,4.0
"Voprex, Hope's End",2.8
Aamri's Choice,3.5
Intrepid Longhorn,3.5
Qirin Ascendant,4.0
Shen-Ra Speaks,5.0
"Aamri, Dragonbane",1.8
Sodi's Choice,1.8
Sodi's Spellshaper,5.0
Wanderlust Qirin,1.2
Sodi the Metamorph,3.2
Ila & Mizo,4.0
Nahid's Faithful,3.5
Worthy Cause,3.2
Nahid's Choice,3.0
"Zhen-Zu, Hand of Nahid",3.2
"Nahid, the Immortal",1.2
Electrostatic Distortion,0.2
Parul's Choice,3.0
Misery Walker,1.8
Forbidden-Rider Outcast,4.0
"Parul, Sealkeeper",1.2
Eloz's Choice,2.2
Eloz's Elite,3.0
Cast into Shadow,5.0
"Nivia, Most Devoted",3.0
"Eloz, Martial Scholar",3.5
Conservatory Alchemist,3.0
Felrauk's Choice,3.2
Wretched Raven,3.0
Kindo Shadowstep,2.2
Felrauk the Outcast,0.2
"Insignias (FJ, FP, TP, TS, JS)",2.2
Xulta Arcanum,3.5
Profane Nexus,2.2
Den of Ordeals,3.5
Bastion of the Dawn,2.2
Outcast Fortress,3.5
Ancient Manual,2.2
Sacred Seal,0.2
"Varret, Hero-in-Training",3.5
Sword of Judgement,3.0
Granite Coin,2.8
Helpful Doorbot,0.2
Trail Stories,0.2
Bottoms Up,3.2
Char,3.0
Feed the Flames,0.2
Firemane Cub,1.2
Forge Wolf,0.2
Heavy Axe,2.2
Hidden Shiv,1.2
Iceberg Frontrunner,0.2
Kennelmaster,0.2
Light the Fuse,0.2
Longbarrel,3.0
Oni Patrol,3.0
Ruin,0.2
Softfoot Burglar,1.2
Stonehewer,2.2
Ticking Grenadin,0.2
Urn of Choking Embers,0.2
Ankle Cutter,2.2
Blazing Renegade,1.2
Blurreechaser,3.5
Brazen Daredevil,0.2
Charchain Flail,2.2
"Clodagh, Loyal Advisor",3.0
Conflagrate,3.5
Firemane Lioness,2.8
Flamebelcher,1.2
Hotblood Barbarian,2.8
Incendiary Slagmite,1.8
Kaleb's Favor,0.8
Notorious Scoundrel,2.8
Oni Cavediver,2.2
Oni Forgemaster,3.0
Piercing Shot,2.2
Plunder,0.8
Pyre Adept,1.8
Rampage,2.8
Ruination Sledge,3.2
Scale Seeker,5.0
Stronghold Vandal,2.8
Tantrum,2.2
Call to Arms,0.8
Coverfire Marksman,3.5
Fireheart Recruit,3.0
Flametail Whip,1.2
Frontier Bard,3.0
Gold Mine,0.2
Granite Acolyte,3.0
Granite Ring,1.2
Grenade,1.8
Hoof Slash,2.2
Manufacture,2.2
Oni Quartermaster,3.2
Rakano Flagbearer,0.2
Rally,0.8
Rebel Sharpshooter,3.0
"Rika, Desert Navigator",3.0
Ruincrawler Yeti,2.2
Rusty Grenamotive,3.5
Shiftstone Processor,0.2
Sizzleback Salamander,1.8
Stonescar Excavator,0.2
Streets Aflame,3.5
Tumblebang,1.2
Warpainter,2.2
Barbarian Camp,1.2
Bladerang,0.8
Burn Out,2.2
Centaur Outrider,1.2
Cloud of Ash,2.2
"Criva, the Crimson Scythe",1.2
Flamebrewer,3.5
Gravemarker Oni,3.5
Hellfire Oni,2.8
Kaleb's Persuader,4.2
Kaleb's Sanctum,0.2
"Kyojun, Grand Shugo",4.0
Library Phoenix,1.2
Magma Javelin,3.0
Mining Team,2.2
Outlands Sniper,3.5
Outlaw Ringleader,3.5
Overheat,1.2
Raging Firemaw,5.0
Rebel Illuminator,3.8
Recogulator,2.2
Ruckus Rouser,0.2
Shingane Firebrand,3.5
Siege Breaker,4.0
Steelfang Chakram,5.0
Ashen Snakepit,0.2
Calderan Gunsmith,1.2
Centaur Raidleader,2.2
Combustion Brawler,3.5
Dusthoof Brawler,1.2
Eclipse Dragon,5.0
Flash Fire,1.2
Hordeleader,3.0
Infernus,0.2
Pouncing Drake,4.0
Shogun of the Wastes,3.8
Stonepowder Heretic,1.8
Waystone Elemental,4.0
Bad News,0.2
Birthright,0.2
Blademaster Daimyo,2.2
Crowd Favorite,1.8
Dashing Rapscallion,4.0
Hellfire Rifle,1.8
Phoenix Hammer,0.8
Shingane Captain,3.5
Sky Terror,5.0
Soulfire Drake,3.8
Stonescar Maul,3.5
Sunscorched Elemental,1.8
Sureshot,3.2
Worldpyre Phoenix,4.0
"Brenn, Arch-Magister",1.2
Claw of the First Dragon,3.5
Final Shot,2.2
Rock Carapace,2.2
Steelbound Dragon,4.0
"Kaleb, Uncrowned Prince",1.8
Twinflame,1.2
"Sindok, Rage Incarnate",3.0
Amber Coin,2.8
Azurite Prixis,0.2
Araktodon Egg,1.2
Crested Runt,3.0
Cult Aspirant,0.2
"Ghar, Master Sandmage",3.0
Hesitate,0.2
Humbug,0.2
Infinite Hourglass,0.2
Journey Guide,2.2
Ornamental Daggers,3.2
Predator's Instinct,3.0
Randori,0.2
Sanctuary Priest,0.2
Scorpion,2.8
Silence,0.8
Slow,0.2
Staff of Speed,1.8
Time Flies,1.2
Wandering Wisp,0.2
Water of Life,0.2
Accelerate,0.2
Accelerated Impact,0.2
Adolescent Deathjaw,3.0
Amaran Armadillo,3.5
Ask for Directions,0.2
Bold Adventurer,2.2
Burdenbearer Wisp,2.8
Cryptic Master,3.0
Disjunction,0.2
Displaced Oryctodon,2.2
"Evelina, Valley Searcher",2.2
Forgotten Find,0.2
Glimpse the Possibilities,0.8
Last Rites,0.2
Learned Herbalist,3.0
Living Example,3.0
Living Offering,2.2
Porcelain Mask,0.2
Resolute Monk,3.5
Sauropod Wrangler,2.2
Sustaining Harp,0.2
Synchronized Strike,1.2
Talir's Favored,1.2
Teleport,2.2
Trail Maker,3.5
Vapor Hut,1.8
Voice of the Speaker,1.2
Wurm Bait,1.2
Ageless Mentor,4.0
Amber Acolyte,3.5
Amber Ring,1.2
Antique Polisher,2.2
Arcanum Hourglass,0.2
Awaken the Ages,0.8
Bulbous Humbug,3.5
Clockroach,3.0
Death Pit,0.2
Dune Phantom,3.0
Initiation Bell,0.2
"Kimi, Expedition Guide",4.0
Mesmerized Moth,2.8
Novice Entomancer,3.5
Oasis Sanctuary,0.2
Omnivorous Vorlunk,2.2
Patience,0.2
Perilous Research,0.2
Premonition Wisp,2.2
Quicksilver Ooze,3.0
Scorpion Wasp,3.5
Search Party,2.2
Secret Pages,1.2
Shepherd's Horn,0.2
Sirocco Elementalist,1.2
Stillweave Shroud,3.5
Swirl the Sands,1.8
Talir's Sanctum,0.2
Unlock Potential,1.2
Unraveling Fanatic,3.0
Wurmcalling,4.2
Ancient Lore,1.8
Archive Curator,4.0
Beckoning Lumen,3.0
"Gnash, Pridemaster",4.0
Healer's Cloak,3.5
Horned Vorlunk,2.8
Insatiable Serasaur,4.0
Lumen Attendant,3.5
Lumen Reclaimer,3.0
Maddening Whisper,2.2
Mute,1.8
Sandspitter,1.8
Steward of Prophecy,3.8
Stinging Wind,1.2
Temple Artisan,2.2
Temporal Adept,1.8
The Praxis Arcanum,4.0
Thrashing Dune Wurm,5.0
Timekeeper,1.2
Towertop Patrol,3.0
Vault of the Praxis,0.2
Viper's Bite,0.2
Xenan Guardian,3.0
Etched Monolith,0.2
Horn of Plenty,3.8
Praxis Displacer,3.5
Striking Snake Formation,3.2
Towering Terrazon,3.0
Twinbrood Sauropod,4.0
Venomous Mount,3.5
Waystone Infuser,5.0
End of Days,0.2
Invoke the Waystones,0.2
Locust Hatcher,4.0
Lumen Shepherd,3.5
Plated Goliath,3.5
Refreshing Waters,0.2
Temple Captain,3.0
Voyaging Lumen,1.2
Ancient Terrazon,3.5
Lumen Colossus,2.2
Predatory Carnosaur,4.0
"Ravid, Insect Master",4.0
Rhinarc Huntpack,3.5
"Talir, Unbound",2.2
Belching Behemoth,1.2
"Marisen, the Eldest",3.5
"Talir, Who Sees Beyond",1.8
Emerald Coin,2.8
Endure,0.2
Harmless Question,0.2
Adjudicator's Gavel,0.2
Detain,1.2
Elder's Feather,3.5
Embargo Officer,1.8
Finest Hour,3.2
Headhunter,3.0
Humble Instructor,2.2
Minotaur Oathkeeper,3.0
Oni Samurai,2.2
Peacekeeper's Helm,3.5
Spire Spellsword,0.2
Steadfast Deputy,0.2
Svetya's Bravery,1.2
Tinker Apprentice,1.2
Valkyrie Aspirant,1.2
Whetstone,0.2
Axe Sharpener,2.8
Barricade,2.2
Crownwatch Longsword,3.0
Crownwatch Paladin,3.0
Encouragement,1.2
Fall Short,2.2
Golem Press,3.2
Isolate,2.2
"Kira, the Prodigy",3.0
Kosul Diplomat,1.2
Minotaur Grunt,2.2
Rebuke,1.8
Reinforce,0.2
Relentless Deadshot,3.5
Rolant's Favor,0.8
Shamebearer,2.8
Silver Shortsword,1.2
"Siraf, Grand Strategist",5.0
Steadfast Paladin,2.2
Strength of Many,2.2
Tax Collector,1.8
Tinker Overseer,3.5
Touch of Grace,2.2
Wanted Poster,1.2
Workshop Tinker,3.0
Auric Sentry,3.5
Brightmace Paladin,3.2
Emerald Acolyte,1.2
Emerald Ring,2.8
Fur Hat,1.8
Gilded Glaive,3.5
Hero of the People,2.8
Hooru Envoy,1.2
Inner Might,1.2
"Kemmo, Ijin's Apprentice",4.0
Kemmo's Blueprints,1.2
Kosul Elite,1.8
Kosul Recruit,3.0
Loyal Watchwing,1.2
Mark of Shame,1.2
Order of the Spire,3.0
Righteous Intent,3.2
Rolant's Memorial,1.2
Shard of the Spire,1.2
Siraf's Beacon,1.8
Spire Chaplain,3.5
Steel-Eyed Pistoleer,3.0
Tinker Enervator,2.2
Treasury Guard,1.8
Valkyrie Cadet,2.2
War Wagon,3.5
Auric Weaponsmith,2.2
Avigraft,3.2
Bronze Cuirass,1.2
Caltrops,2.8
Citywide Ban,0.2
Copperhall Blessing,1.2
Copperhall Chancellor,0.8
Copperhall Recruit,2.2
Curse of Taxation,0.2
High Alert,3.0
Imperial Loyalist,3.5
Mantle of Justice,3.5
Pistolwhip,1.8
Rakano Sheriff,5.0
Resolute Paladin,1.2
Sheriff's Hat,1.8
Shieldsmith,1.2
Sky Crew,2.2
Stalwart Shield,2.8
Treasury Gate,0.2
Combrei Magister,1.8
Downfall,1.2
Hammer of Authority,3.5
Hooru Fledgling,2.2
Mithril Mace,1.8
Rallying Banner,1.2
Reinforcements,0.2
Silverwing Commander,5.0
Withstand,4.2
Xulta Foil,5.0
Ceremonial Mask,3.5
Challenge by Law,4.0
Civic Peacekeeper,1.2
Crownwatch Captain,2.2
Defender's Bulwark,1.2
Fourth-Tree Elder,4.0
Horngrinder,1.2
Ironfist Archon,3.5
"Nikos, the Unifier",3.5
Oathkeeper's Hammer,3.0
Plated Demolisher,3.0
Regent's Blade,2.2
"Reyna, the Unwavering",2.8
Town Watchman,1.2
Unseen Ghostblade,3.2
Valkyrie Wings,5.0
Last Stand at the Gate,2.2
Rolant's Honor Guard,5.0
Silverwing Augmentor,2.2
Valkyrie Accuser,3.5
Xulta Loyalist,5.0
"Minsod, the Peerless",1.2
"Rolant, the Iron Fist",2.2
Secret Weapon,1.2
Unbreakable Alliance,0.2
Savior of the Meek,0.8
"Sigvard, the Last Bastion",2.2
Cobalt Coin,2.8
Steely Resolve,0.2
Blind Storyteller,2.2
Cloudsnake Hatchling,0.8
Crystal Dirk,1.2
Dinomancy Enthusiast,0.2
Farplace Finder,0.2
Fend Off,2.8
Furnish,2.2
Good Idea at the Time,3.0
Gustrider,1.8
Jump Kick,1.2
Mischief Yeti,2.8
Permafrost,4.0
Powderglider,1.2
Savagery,1.2
Sinister Opportunist,1.8
Snow Pelting,3.0
Spy Glass,3.0
Substitute,0.8
Vargo's Pelt,0.2
Warning Jolt,0.2
Yeti Bully,0.2
Avalanche Yeti,3.5
Belligerent Yeti,2.8
Campfire Watchman,2.2
Changeestik,4.0
Eilyn's Favor,0.2
Fledgling Owlet,0.8
Fragility,0.2
Herald's Song,1.2
Honored Skyguard,4.0
Lightning Strike,3.5
Maelstrom Bell,0.2
Master Cartographer,2.8
Parry,3.5
Re-read,0.2
Read the Runes,0.2
Scaly Gruan,1.8
Second Sight,1.2
Snowdrift Delver,2.8
Storm Talisman,0.8
Stormtamer Operative,2.2
Tend the Flock,0.2
Unseal,0.2
Whispering Wind,4.0
Yeti Snowslinger,3.0
Aerial Battle,0.2
Camp Surveyor,3.0
Cloudsnake Harrier,3.8
Cobalt Acolyte,3.5
Cobalt Ring,0.8
Crashing Avalanche,1.2
Eilyn's Sanctum,3.2
Electropy,0.2
Flash Freeze,2.2
Glacier Shaper,3.5
Horde Plunderer,3.0
Ice Sprite,3.5
Icebow,2.2
Icebreaker,0.8
"Larai, the Appraiser",2.2
Lethrai Secretweaver,1.8
Lightning Sprite,4.2
Mind Link,0.2
Polymorph,3.5
Shapeshifter's Mask,4.0
Skysnapper,2.8
Snowfort,0.2
Storm Spiral,2.2
Temple Shihan,4.0
Thudrock's Masterwork,3.5
Thunderbird,3.0
Tundra Explorer,3.0
Wisdom of the Elders,1.8
Aggressive Ursine,3.5
"Bam, Sneakeepeekee",3.5
Clutch of Talons,5.0
Court Mage,3.0
Death from Above,1.2
Elder Meditant,1.8
Icicle Marksman,0.2
Innate Conviction,4.0
Jarrall's Frostkin,3.5
Lens of Clarity,0.2
Lethrai Soothsayer,5.0
Meditation Trainer,1.2
Reclusive Scholar,1.2
Regression,2.2
Rejection,0.2
Shadowlands Borderscout,4.0
"Torgov, Icecap Trader",4.0
Windshaper,3.2
Yeti Troublemaker,2.8
Big Brother,3.0
Crystallize,5.0
Elvish Swindler,1.2
Ferocity of Bear,1.8
Gleaming Shield,3.5
Keen Saddleback,4.0
"Lida, Most Skilled",3.0
Magus of the Mist,4.2
Mass Polymorph,2.8
Pearlescent Drake,4.0
Primal Incarnation,1.8
Psionic Savant,1.8
Sack the City,0.8
Skycrag Wyvarch,4.0
Staff of Stories,2.8
Unchecked Rage,1.8
Boltcrafter Shaman,1.2
Celestial Omen,0.2
Hatchery Hunter,3.8
North-Wind Herald,1.2
Sapphire Dragon,4.0
Shaluuk Captain,4.0
Snowsculptor,2.8
"Tamarys, Earthshaker",4.2
Thunderstrike Dragon,5.0
Araktodon,0.8
Icequake,0.8
Jotun Birth Song,0.2
"Kenna, Shaman of the Scale",4.0
Mistveil Drake,4.0
Rimescale Draconus,5.0
"Eilyn, Queen of the Wilds",2.2
Channel the Tempest,0.2
Amethyst Coin,0.2
Borrowed Violence,0.2
Affliction,2.2
Blood Beetle,1.8
Bloodnurse,2.2
Brash Shorthorn,1.8
Direfang Spider,3.0
Direwood Slasher,1.2
Fallen Oni,0.2
Ghostform,0.2
Grenamender,0.2
Horrifying Helm,2.2
Jack's Knife,3.0
Pilfer,1.2
Sabotage,0.2
Secret Passage,1.8
Slumbering Stone,3.2
Spitefeeder,0.8
Spiteful Strike,3.5
Vicious Rumors,0.2
Xenan Lifespeaker,3.8
Angry Prophet,1.8
Auric Reclaimer,2.2
Cabal Cutthroat,3.0
Cabal Repeater,3.0
Cowardice,0.2
Dark Wisp,2.8
Devour,1.2
Dreamsnatcher,3.0
Fearbinder,0.2
Fenris Nightshade,3.8
Heirloom Seeker,2.2
Illicit Armament,0.2
Lethrai Ranger,3.0
Mournful Deathcap,2.2
Obliviobot,0.2
"Olly, Maniacal Graverobber",3.5
Scavenging Vulture,1.2
Sleeping Draught,1.2
Sporefolk,1.2
"Tavia, Lethrai Raidleader",5.0
Vampire Bat,1.2
Vara's Favor,2.8
Vizier's Tablet,0.2
Warlock's Brew,2.8
Amethyst Acolyte,3.2
Amethyst Ring,0.2
"Ashara, Ruthless Assassin",3.5
Banished Umbren,1.2
Beastcaller's Amulet,3.5
Blackguard Sidearm,3.2
Crooked Alleyguide,3.5
Darkweave Enchantress,3.0
Devouring Shadow,3.5
Direwood Beastcaller,2.8
Hair-Trigger Pistol,3.2
Lethrai Direbeast,3.8
Lethrai Memory-Keeper,1.2
Lethrai Nightblade,3.0
"Livia, Hexweaver",3.5
Marionette Cross,2.2
Means to an End,0.2
Ravenous Thornbeast,3.2
Scheme,1.2
Shadowlands Guide,2.8
Sinister Design,1.8
Surgeon's Saw,4.0
Torrent of Spiders,2.2
Umbren Deathwatcher,1.8
"Vishni, Lethrai Highblood",4.2
Void Drummer,3.0
Wingbrewer,4.2
Back-Alley Bouncer,1.8
Cabal Bludgeoner,2.2
Cabal Recruiter,1.8
Devious Drone,3.2
Dizo's Racket,0.2
Heartstopper,4.0
Impending Doom,5.0
Lethrai Falchion,4.2
Lethrai Intimidator,3.0
Lethrai Provocateur,4.0
Malediction,3.0
"Mazag, the Waking Terror",3.5
Minotaur Lighthoof,3.5
Razorquill,3.0
Relentless Gorehorn,3.0
Soul Collector,1.8
Withering Touch,3.0
Xenan Fanatic,0.2
"Ashara, the Deadshot",4.2
Elder Astrologer,5.0
Eviscerate,3.5
Headsman's Axe,1.2
Lethrai Bladewhirl,3.0
Oblivion Spike,2.8
"Obrak, the Feaster",3.2
Pillar of Dreams,0.2
Scarecrow,3.5
The End is Near,0.8
Unspeakable Torment,0.2
Wretched Talon,4.0
Argenport Ringmaster,3.0
Auric Captain,3.5
Cut Ties,3.5
Direwood Prowler,3.2
Direwood Rampager,1.2
Drifting Death,2.8
Gunrustler,1.2
Horsesnatcher Bat,3.5
Hostile Takeover,4.0
Malediction Reader,4.0
Sadistic Glee,1.8
Slimespitter Slug,5.0
Solitude,0.2
Spirit Drain,1.2
Vara's Sanctum,2.2
"Zelia, the Vain",5.0
Azindel's Gift,0.2
Dizo's Office,5.0
Repulsive Gorger,2.8
Venomspine Hydra,3.8
Nametaker,0.2
Touch of the Umbren,2.2
Umbren Occluder,3.0
"Vara, Fate-Touched",2.2
"Acantha, the Huntress",0.8
Noble Firemane,3.2
East Annex Smuggler,3.5
Journeyman Armorer,3.0
Magus of Celerity,3.5
Brilliant Discovery,0.2
Diogo Málaga,3.8
Recombobulate,2.8
"Darya, Warrior Poet",4.0
Shatterglass Mage,3.8
Bear Arms,3.0
Rakano Artisan,2.2
"Ijin, Imperial Armorer",5.0
Red Canyon Smuggler,3.5
"Eaton, Seditious Noble",2.2
Ijin's Workshop,4.0
Longhorn Sergeant,2.2
Renegade Valkyrie,3.0
Tinker Dronedropper,4.0
Field Captain,2.2
Deadeye,2.2
Calderan Cradle,0.2
Howling Peak Smuggler,3.5
Iceberg Shineefinder,3.5
Chunk Chunk,4.0
Mortar,3.5
Bloodthirsty Brawler,3.5
Burn Them All,4.0
Iceberg Warchief,3.2
"Crill, Merciless Pillager",1.8
Knucklebones,4.0
Topaz Drake,2.2
Combust,2.8
Treachery,0.2
Brimstone Altar,0.2
Cen Wastes Smuggler,3.5
Clan Huntcaller,3.5
Stonescar Pickaxe,4.0
"Syl, Hand of the Cabal",4.0
Smuggler's Stash,3.0
"Voprex, the Great Ruin",3.2
Safe Return,0.8
Shush,0.2
Combrei Healer,3.5
Pearl Abbey Smuggler,3.5
Vodakhan's Staff,4.0
Karmic Guardian,3.8
Penitent Bull,1.8
Serene Meditant,4.0
A New Tomorrow,0.2
"Derry Cathain, Ripclaw Rider",2.8
Storm Lynx,3.0
Torgov's Trading Post,4.0
Twinning Ritual,2.2
Amaran Camel,1.2
Great Valley Smuggler,3.5
Pteriax Hatchling,4.0
Colossal Pteriax,4.0
Hunting Pteriax,4.0
"Curiox, the Collector",4.0
Tunneling Gargantua,1.2
Lethrai Courtier,0.8
Ebon Dune Smuggler,3.5
Sadistic Ritualist,3.0
Shadowlands Bonepicker,3.5
Dread,1.2
Xenan Cupbearer,2.2
Bloodcall Invoker,3.0
Xenan Temple,5.0
Blistersting Claws,0.2
Siphon Vitality,5.0
Unraveler of Destinies,4.0
Bring Down,3.0
Linebreaker's Shield,4.0
Rime Conclave Smuggler,3.5
Long Live the Queen,0.2
"Aniyah, Arctic Sheriff",4.2
Champion of Order,1.2
Duelist's Blade,3.5
Highwind Glider,3.0
Aid of the Hooru,0.2
Lost Scroll,0.8
Back for More,0.2
Hidden Road Smuggler,3.5
Resilient Wagoneer,2.2
Rooftop Vigilante,4.0
Unfinished Business,0.2
Crownwatch Traitor,4.0
Howling Kurtarr,4.0
Regent's Tomb,4.0
Sanguine Sword,1.8
Knight of Sorrow,3.8
Lethrai Hideaway,2.8
Blight Pass Smuggler,3.5
Feln Cauldron,0.2
Gorgon Fanatic,2.8
Skywalk Enforcer,3.2
Trickster's Cloak,3.0
Ancient of the Ice Caves,2.2
Spell Swipe,0.2
"Zende, the Heart-Binder",4.0
"Insignias (FP, FS, TJ, JP, PS)",2.2
Seats (All 2F Combinations),3.0
"Curiox, Insatiable Seeker",1.2
"Quinn, Lone Wanderer",1.2
"Brel, Solist Apostate",1.2
"Grinva, Breaker of Will",2.2
Talir's Unwinding,0.2
"Tokens (FTP, FJP, FJS, TJS, TPS)",2.8
Chairman's Contract,0.2
Common Cause,0.2
Seal of Devotion,0.2
Spiked Helm,0.2
Alchemist's Concoction,1.8
Astromancer's Compass,0.2
Seek Power,3.2
Worn Shield,0.8
Bannerman,3.5
Recon Tower,1.8
Seek Answers,2.2
Alchemical Blast,1.2
Disrupt,0.2
Makeshift Barrier,2.8
Mask Maker,3.2
Momentum Builder,4.0
Spirit of Resistance,0.2
