Card,Average
Moment of Creation,0.5
Monolith Guardian,1.708333333
Moondial,1.958333333
Moonlit Gargoyle,3.166666667
Morningstar,3.5
Mortar,3.5
Mysterium Orb,0.416666667
Mystic Ascendant,4.666666667
Nametaker,0.5
"Navani, Warsinger",3.833333333
Nesting Avisaur,3.5
"Nightmaw, Sight Unseen",3.833333333
Noble Firemane,2.833333333
Nocturnal Creeper,2.541666667
Nocturnal Kyrex,1.083333333
Nocturnal Observer,3.083333333
North-Wind Herald,0.5
"Nostrix, Lord of Visions",4.166666667
Novaquake Titan,0.083333333
Novice Herdrider,1.958333333
Oasis Seeker,2.5
Obliterate,3.833333333
Oblivion Spike,2.333333333
"Obrak, the Feaster",3.166666667
Obsidian Golem,3
On the Hunt,1.666666667
Oni Cavediver,2.625
Oni Gunwright,1.583333333
Oni Quartermaster,2.166666667
Oni Ronin,3.333333333
Oni Striker,0.5
Order of the Spire,3.166666667
Ornamental Daggers,2.166666667
Ornate Katana,3
Outlands Brute,2
Outlands Sniper,3.5
Pack Hunt,0.666666667
Paladin Oathbook,4.5
Panoptic Guardian,1
Parapet Sentry,3.625
Peacekeeper's Prod,3.333333333
Pearlescent Drake,4.166666667
Permafrost,4
Piercing Grief,0.666666667
Piercing Shot,2.166666667
Pilfer,1.166666667
Pillar of Amar,4.166666667
Pit Fighter,1
Plague,3.833333333
Plated Demolisher,2.666666667
Plated Goliath,3.5
Polymorph,3.333333333
Pouncing Drake,4.166666667
Powderglider,1.625
Powderkeg Rider,1.875
Praxis Displacer,3.833333333
Predator's Instinct,2.333333333
Predatory Carnosaur,4.666666667
Premonition Wisp,1.625
Prickly Grenadin,1.625
Privilege of Rank,0.833333333
Prophetic Stranger,1.166666667
Prosecutor-at-Arms,2.166666667
Protect,1.166666667
Psionic Savant,1
Pteriax Hatchling,3.5
Pummel,1.833333333
Purge the Darkness,0.25
Purify,3.5
Pyre Adept,2
Pyroknight,3.333333333
Rabblerouser,1.5
Rain of Frogs,0.333333333
Rakano Artisan,2.166666667
Rakano Flagbearer,0.666666667
Rakano Outlaw,3.5
Rakano Sheriff,4.208333333
Rally,1
Rampage,1.833333333
Rampart Protector,0.625
Rapid Shot,3.166666667
Ravenous Thornbeast,2.833333333
Reality Warden,4
Rebel Illuminator,3.5
Rebel Sharpshooter,3
Rebuke,1.833333333
Recogulator,1.166666667
Recurring Nightmare,2.5
Recycler,3.333333333
Reforge,1
Refresh,2.5
Regent's Blade,3.5
Regression,1.166666667
Reinforce,0
Reinvigorate,2.791666667
Relentless Gorehorn,2.5
Reliquary Raider,3.333333333
Renegade Valkyrie,2.333333333
Repulsive Gorger,2.5
Reunite,1.5
Rhinarc Huntpack,3.833333333
Riddle Game,0
Ridgeline Watcher,1.5
Righteous Fury,2.166666667
Rimescale Draconus,4.5
"Rindra, the Duskblade",4.125
Rise to the Challenge,1.833333333
Rock Carapace,2.333333333
Rockslide,3
"Rolant, the Iron Fist",3.5
Rolant's Fist,4.166666667
Rolant's Honor Guard,4.5
Rolant's Intervention,1.958333333
Rolant's Choice,3.333333333
Rooftop Vigilante,3.75
Roosting Owl,3
Ruby Catalyst,1.875
Ruin,0.166666667
Ruincrawler Yeti,2.666666667
Runic Revolver,2
Ruthless Stranger,2.166666667
Sabotage,0.166666667
Safe Return,1.666666667
Sanctuary Priest,1
Sand Viper,3
Sand Warrior,0.666666667
Sandbinder Sentinel,3.541666667
Sandglass Sentinel,1
Sandspitter,1.5
Sandstorm,2.833333333
Sandstorm Titan,4.333333333
Sanguine Sword,1
Sapphire Dragon,3.5
Sauropod Wrangler,2
Savage Skybrood,0.791666667
Savage Stranger,2.166666667
Scaletender,2.583333333
Scaly Gruan,2
Scare,0.166666667
Scavenging Vulture,1.5
Scepter of Nobility,1.166666667
Scheme,1.166666667
Scorpion Wasp,3.333333333
Scourge of Frosthome,0.333333333
Scourstone Sentinel,2.458333333
Scouting Party,2.5
Scrap Heap,0.916666667
Scrap Hound,2.041666667
Scraptank,4.333333333
Seasoned Spelunker,3.208333333
Second Sight,1
Secret Pages,0.833333333
Seek Power,3
Sentinel's Might,0
Serasaur Bull,3.291666667
Serene Excavator,2.125
Serpent Mount,1
Serpent Trainer,3
Shadowlands Bonepicker,3.333333333
Shadowlands Guide,2
Shadowlands Tyrant,3.791666667
Shard of the Spire,0.5
Shatterglass Mage,3.5
Shelterwing Rider,3.666666667
Shepherd's Horn,0.166666667
Shield Bash,1
Shielded Shortbarrel,2.5
Shieldsmith,1.958333333
Shimmerpack,2.833333333
Shogun of the Wastes,3
Shogun's Scepter,4
Showdown,1.416666667
Shush,1.083333333
Signal Flag,1.041666667
Silverwing Avenger,3.5
Silverwing Commander,4.5
Silverwing Familiar,3
Silverwing Rallier,1.541666667
Silverwing Smith,2.625
"Sindok, Rage Incarnate",3
Sinister Opportunist,0.916666667
Skeeter,1.5
Sky Terror,4.666666667
Skycrag Huntsman,1.291666667
Skycrag Wyvarch,3.5
Skyrider Vanguard,3
Skysnapper,2.333333333
Skywalk Enforcer,3
Skywalk Instructor,3.166666667
Skyward Seer,2.333333333
Slay,4
Sleeping Draught,1.708333333
Sleepless Night,2.166666667
Slimespitter Slug,4.333333333
Slope Sergeant,2.416666667
Slow,0.5
Slumbering Stone,2.833333333
Slushdumper,3
Smith's Hammer,0.666666667
Smuggler's Stash,3
Snapping Brushstalker,1.5
Snow Pelting,3.25
Snowcrush Animist,3.666666667
Snowcrust Yeti,2.5
Snowfort,0.708333333
Soaring Guard,1.416666667
Soaring Stranger,3.666666667
Solitude,0.166666667
Song of War,0.5
Sorrow's Shroud,1
Soul Collector,1.333333333
Soulfire Drake,4.333333333
Spark Hatcher,2.833333333
Sparkbot,1.5
Sparring Partner,2.5
Spell Swipe,0.166666667
Spellshield Architect,2.166666667
Spiked Buckler,1.833333333
Spiked Helm,0.5
Spire Chaplain,3
Spirit Drain,1.333333333
Spirit Guide,3.333333333
Spirit of Resistance,0.166666667
Spiritblade Stalker,3.041666667
Sporefolk,0.666666667
Spur On,0.5
Staff of Stories,2.5
Staff of the Arch-Magister,0.583333333
Stalwart Shield,2.666666667
Stalwart Silverwing,1
Stampede Driver,2.458333333
Stand Together,4
Starsteel Daisho,3.166666667
Static Bolt,2
Statuary Maiden,5
Steadfast Deputy,0.333333333
Steady Marshal,1.541666667
Steelbound Dragon,4.333333333
Steelfang Chakram,4
"Stella, the Shotcaller",1.958333333
Steward of Prophecy,3.333333333
Steward of the Past,4.166666667
Stirring Sand,0.708333333
Stonepowder Alchemist,3
Stonepowder Heretic,1
Stonescar Excavator,0
Stonescar Leviathan,2.333333333
Stonescar Magus,1.833333333
Stonescar Maul,3.333333333
Stonescar Sawed-Off,3.333333333
Stonescar Scrapper,3.333333333
Stonescar Sneak,3.833333333
Stoneshaker,0.166666667
Storm Glider,2
Storm Lynx,3
Storm Talisman,0.708333333
Stormcaller,2.5
Stormcrasher,3.166666667
Strategize,3
Street Leecher,3.125
Streetwise Informant,3.166666667
Strength of Many,2.166666667
Strength of the Pack,4.333333333
Striking Snake Formation,3
Striped Araktodon,3
Stronghold's Visage,1
Subvert,1.5
Suffocate,3.5
Sunken Tower,1.375
Sureshot,3.208333333
Surveying Mantasaur,1.916666667
Swear Vengeance,0.5
Swift Stranger,1.5
Swindle,1.5
Sword of Icaria,3.166666667
Sword of the Sky King,2.833333333
Synchronized Strike,1
"Talir, Unbound",2.75
"Talir, Who Sees Beyond",2.833333333
Talir's Intervention,2.333333333
Talir's Choice,0.833333333
Talon Dive,0.666666667
Talon of Nostrix,2.666666667
Tandem Watchwing,2.583333333
Tax Collector,2.541666667
Teleport,2.166666667
Temper,1.333333333
Tempered Sentinel,1.791666667
Temple Raider,2.166666667
Temple Scribe,1.333333333
Temporal Distortion,0
The Great Parliament,4.5
The Last Word,0.166666667
The Witching Hour,0
Threaten,0.333333333
Throne Warden,3
"Thudrock, Arctic Artisan",3.333333333
Thunderhoof Warrior,1.833333333
Thunderstrike Dragon,5
Ticking Grenadin,0.5
Time Weaver,3.5
Timeworn Sentinel,1.75
Tinker,0.833333333
Tinker Apprentice,0.833333333
Tinker Dronedropper,4.083333333
Tinker Overseer,3.333333333
Tireless Stranger,2.666666667
Tock Tick,0.5
Tomb Protector,3.5
Topaz Drake,1.333333333
Toppletower,2.291666667
Torch,3.666666667
"Torgov, Icecap Trader",4
Torrent of Spiders,1.166666667
Touch of the Umbren,3.166666667
Tower Shield,1.166666667
Towering Stranger,3.5
Towering Terrazon,3
Towertop Patrol,2.666666667
Town Watchman,1.333333333
Trail Maker,3.291666667
Trail Runner,1.5
Trail Stories,0
Trailblaze,1
Tranquil Scholar,3.5
Treachery,0.5
Treasury Gate,0.166666667
Treasury Guard,1.5
Trickster's Cloak,2.5
Trigger-Happy,0.5
Triggerman,2.5
Trusty Revolver,1.333333333
Tumblebang,1.833333333
Tundra Explorer,2.666666667
Twilight Hermit,0.875
Twilight Hunt,3.083333333
Twilight Raptor,3.333333333
Twinbarrel,0.5
Twinbrood Sauropod,4
Twinning Ritual,2.166666667
Umbren Coaxer,1.25
Umbren Reaper,3.833333333
Umbren Thirster,1.333333333
Unchecked Rage,2.083333333
Unlock Potential,0.666666667
Unpredictable Outlaw,2.625
Unseal,0.916666667
Unseen Agent,1.416666667
Unseen Commando,4.166666667
Unstable Form,3.333333333
"Vadius, Clan Father",4
Vainglory Patrol,2.791666667
Valkyrie Arcanist,3.166666667
Valkyrie Aspirant,1.333333333
Valkyrie Bodyguard,2.458333333
Valkyrie Cadet,0.958333333
Valkyrie Denouncer,3.5
Valkyrie Enforcer,4.5
Valkyrie Harvester,2.916666667
Valkyrie Justiciar,2.333333333
Valkyrie Linebreaker,1.166666667
Valkyrie Militant,2.5
Valkyrie Spireguard,4.166666667
Valkyrie Wings,4.666666667
Valorous Stranger,1
Vanquish,4
"Vara, Fate-Touched",3.833333333
Vara's Intervention,2.208333333
Vara's Choice,2.666666667
Vault of the Praxis,0.166666667
Venomfang Dagger,0.666666667
Venomspine Hydra,3.666666667
Vicious Highwayman,3.541666667
Victor's Cry,3.166666667
Violent Gust,2.166666667
Viper's Bite,0.166666667
"Vodakhan, Temple Speaker",3.666666667
Vodakhan's Staff,3.833333333
Voice of the Speaker,1.166666667
"Voprex, the Great Ruin",3
Voracious Fosora,1.5
Voyaging Lumen,1.166666667
Wandering Forge,1.708333333
Wandering Wisp,1
Wanted Poster,0.791666667
Warband Chieftain,3
Warhelm,1.833333333
Watcher of the Big Ones,3.666666667
Water of Life,0.166666667
Waystone Infuser,4.666666667
Weather the Storm,1.166666667
West-Wind Herald,2.166666667
Whetstone,0.083333333
Whirling Duo,3.666666667
Whispering Wind,3.833333333
Whispers in the Void,2
Wild Cloudsnake,1.333333333
Wild Rider,1.833333333
Windshaper,3.166666667
Winter's Grasp,2.291666667
Wisdom of the Elders,1.666666667
Wisplight,1.166666667
Withering Witch,3
Workshop Forge,0
Worldbearer Behemoth,4.25
Worldjoiner,0.833333333
Worldpyre Phoenix,4.166666667
Worn Shield,0.5
Xenan Augury,1.333333333
Xenan Cultist,2
Xenan Cupbearer,2.5
Xenan Destroyer,2
Xenan Fanatic,0.666666667
Xenan Guardian,2.833333333
Xenan Initiation,3.5
Xenan Obelisk,4.666666667
Yeti Furflinger,2.5
Yeti Sage,2.375
Yeti Snowchucker,0.666666667
Yeti Snowslinger,2.833333333
Yeti Spy,0.833333333
Yeti Troublemaker,2.5
Yeti Windflyer,2.458333333
Young Gun,0.333333333
"Zelia, the Vain",4.583333333
